Target,Acquirer,Year
1597,7175,2009
8687,139,2009
1392,0,2009
5441,5519,2009
1992,166,2009
7864,8048,2009
5767,6710,2009
5788,6710,2009
6541,562,2009
6234,488,2009
4724,119,2009
4262,41,2009
5389,477,2009
5064,8113,2009
7520,6071,2009
3605,3994,2009
8114,8157,2009
4464,4748,2009
8061,1259,2009
2315,2548,2009
1924,212,2009
1142,8215,2009
5601,52,2009
4238,5680,2009
6370,12,2009
4189,8354,2009
290,128,2009
4504,4293,2009
1956,595,2009
1629,595,2009
2651,595,2009
4417,845,2009
5939,4181,2009
442,439,2009
1175,8439,2009
2475,3458,2009
6647,7749,2009
4429,974,2009
6750,734,2009
4192,5901,2009
2869,3134,2009
588,7368,2009
698,8544,2009
1034,205,2009
7954,444,2009
4603,8591,2009
6717,966,2009
1884,40,2009
3953,8652,2009
2932,8654,2009
6372,3840,2009
3320,5430,2009
7675,1577,2009
6526,1544,2010
3694,4454,2010
6459,839,2010
1437,377,2010
38,207,2010
7423,2265,2010
1713,2265,2010
2657,2265,2010
4690,4829,2010
4284,2186,2010
7885,4686,2010
7899,3263,2010
3158,8157,2010
6526,1544,2010
4085,2847,2010
7566,3950,2010
6601,1161,2010
7094,187,2010
2884,2920,2010
4169,971,2010
357,8314,2010
2387,5683,2010
4366,6046,2010
1570,6547,2010
3566,3537,2010
6568,768,2010
5008,8397,2010
4435,23,2010
7164,7560,2010
6025,4926,2010
8281,1549,2010
4530,8429,2010
6057,226,2010
3627,67,2010
1745,388,2010
1879,2376,2010
2752,688,2010
7522,2115,2010
6227,8513,2010
6775,974,2010
5794,4204,2010
6215,3134,2010
3629,966,2010
1256,1257,2010
6062,6,2010
715,438,2010
8194,8654,2010
8074,8697,2010
2341,5430,2010
5367,5430,2010
1074,8715,2010
1760,14,2011
3516,139,2011
8458,7969,2011
684,461,2011
7974,1406,2011
7040,7988,2011
752,16,2011
6187,47,2011
6205,364,2011
2409,7162,2011
8473,371,2011
2735,2265,2011
2692,3376,2011
4612,2203,2011
8710,1581,2011
354,970,2011
6660,6088,2011
687,8166,2011
7996,5124,2011
8235,7782,2011
6536,96,2011
1174,8207,2011
3846,8207,2011
3716,1178,2011
7030,187,2011
7903,187,2011
7425,2097,2011
1289,1149,2011
5156,8268,2011
560,2109,2011
3185,8335,2011
6817,6046,2011
3637,7632,2011
4347,595,2011
4589,6532,2011
5106,237,2011
7896,55,2011
2354,802,2011
5034,7310,2011
2737,2791,2011
3199,1866,2011
1281,1198,2011
1255,261,2011
7248,1049,2011
2312,807,2011
7562,7727,2011
4639,7206,2011
7002,51,2011
8165,3117,2011
3345,40,2011
7225,2967,2011
7848,8654,2011
4356,8654,2011
8338,112,2011
1850,4916,2011
1891,4916,2011
5736,322,2012
4779,961,2012
7903,187,2012
7122,7933,2012
1491,14,2012
5024,618,2012
6629,169,2012
1388,7984,2012
5872,7988,2012
4252,5519,2012
902,4718,2012
6233,364,2012
3084,3017,2012
7177,6790,2012
2491,1852,2012
3853,477,2012
7171,8128,2012
2744,8157,2012
4229,681,2012
5789,5155,2012
1595,89,2012
776,239,2012
2743,8193,2012
4518,3655,2012
5341,8211,2012
8466,569,2012
2198,725,2012
4619,2471,2012
8447,59,2012
4804,1077,2012
2690,5741,2012
8164,5741,2012
4738,5147,2012
256,1157,2012
1422,1505,2012
8624,856,2012
6968,8408,2012
4213,8408,2012
2544,8435,2012
5187,431,2012
4438,8426,2012
5666,237,2012
4491,6740,2012
4870,67,2012
5715,4923,2012
3804,8469,2012
3206,2414,2012
2000,443,2012
4174,260,2012
5392,5376,2012
7045,2800,2012
7612,465,2012
2704,8610,2012
3565,966,2012
912,438,2012
936,3305,2012
5696,4123,2012
4802,8662,2012
5972,1827,2012
8310,777,2012
6661,8703,2012
2594,8705,2012
7509,4980,2012
